,Rest_id,name,rate,phone,location,rest_type,reviews_list,Mean Rating,Ro Rating,scaled_sentiment,final_score
688,688,Corner House Ice Cream,4.5,+91 9845930618,Lavelle Road,Dessert Parlor,"[('Rated 5.0', 'RATED\n  I absolutely love this place for just one thing Beaty by chocolate\nItÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s a dessert I can eat any time for itÃ\x83Ã\x83Ã\x82Ã\x82Ã\x83Ã\x82Ã\x82Ã\x92s richness of choclate goeyness of brownie and silliness of the ice cream crunch of the peanuts\nFor 210 rs this desserts is worth a bite always\nHighly recommended'), ('Rated 4.0', 'RATED\n  This is the oldest place for desserts in blore the hot chocolate fudge , cake fudge and Dbc are for all the chocolate lovers , it also has a huge variety of fruity desserts as well .. you can try anything and you will love all of it'), ('Rated 5.0', 'RATED\n  Corner house will never disappoint you at any manner tried few sundaes from the menu with couple of friends all of us were enjoyed Death by chocolate , Brownie fudge sundae and Peach melba highly recommend ..'), ('Rated 5.0', 'RATED\n  Being a Bangalorean this is one of my most favourite branches of corner house which has an old world charm and there are swings and a small park area also..Parking is paid but easily available here. You can sit in your car or outside. One of our most loved sundaes here is the cake fudge..the hot fudge is simply amazing!Its definitely a must have! Go here now!\nAlso, for more updates follow us on Instagram using the handle justbangaloring!'), ('Rated 4.0', ""RATED\n  Sugar Rush ?\nOf all the outlets of Corner House, this one is my favorite because of the play area.\nMy favorite is CHOCO MALT THICK SHAKE. Don't miss.\nSo here's what I always do, I go get my shake and go sit on the swing."")]",4.43,"{'roberta_neg': 0.0015630678, 'roberta_neu': 0.01887601, 'roberta_pos': 0.9795609}",5.0,4.83
98,98,Drunken Monkey,4.4,"+91 8618471544
+91 9148489793",Bannerghatta Road,"Beverage Shop, Quick Bites","[('Rated 5.0', 'RATED\n  This is lovely place to satisfy your hunger. Different types of games are available for both elders n kids. Shakes n sandwiches r best in town.'), ('Rated 4.0', 'RATED\n  Drunken Monkey has a series of shakes starting from brownies to Detox. They even has a criteria of how to choose your drink.\nGood place to hangout with friends.\nFood is 4/5 and ambience and service would be 3.5.\n\nHad a great time there.')]",3.87,"{'roberta_neg': 0.0020258385, 'roberta_neu': 0.02348509, 'roberta_pos': 0.97448915}",5.0,4.8
740,740,Masala Klub - The Taj West End,4.4,080 66605660,Race Course Road,Fine Dining,"[('Rated 5.0', 'RATED\n  Food 5/5\nService 5/5\nAmbience 5/5\nPresentation 6/5\nOverall 5/5\nMasala Klub - The Taj West End gave me one of the best dining experiences I have had in a while. The food was simply lip smacking and the presentation was even better. I loved the way how they added a local touch to the offering. Like they have a huge tamarind tree in the premises and they had a dish created from tamarind sourced from that tree.\nService was impeccable as always.'), ('Rated 5.0', 'RATED\n  Taj West end...heritage beauty at its best...and to top it, Masala Klub...the best north indian food one can get in Bangalore.\nWent for Weekend getaway and a romantic dinner on anniversary.\n\nThe dinner at Masala Klub | The ambiance is superb, the staff is friendly, and the food is just finger licking delicious.\nAnd when confused what to order from the delicious menu, the tasting menu comes to rescue...The menu covers starters, main course and dessert and u get to taste variety. Opted for Non-veg and Veg tasting menu. The food in both the tasting menu is just delicious and to the correct quantity where u don`t get the feeling of still hungry or a sad feeling of leaving some portion once full.\nMust try...dahi singada and aloo bhukhara ki tikki, sarson ke phool, kali mirch ka murgh, tandoori nalli, malai kulfi...'), ('Rated 5.0', 'RATED\n  Couple of months back we had team outing and it was decided to go masala Klub... Everything here was outstanding from hospitality to quality of food...well maintained. staffs were knowledgeable in terms of food and beverage.I will definitely recommend this place')]",4.35,"{'roberta_neg': 0.003540803, 'roberta_neu': 0.04039215, 'roberta_pos': 0.9560671}",5.0,4.8
1454,1454,Shake It Off,4.4,"080 41304411
+91 8138099006",Jayanagar,"Beverage Shop, Quick Bites","[('Rated 4.0', ""RATED\n  It's a really small place, but serves pretty good thick shakes. The breakup shake is perfect for chocoholics. Being small, it tends to get crowded at peak hours (has like 4 tables). They also have a variety of board games. It's a good place to hangout with friends. Price wise, it's not expensive, and taste is worth the money.""), ('Rated 4.0', 'RATED\n  Ambiance: 3.5/5 (tiny little place, open to the pavement)\nService: 5/5 (as good as generally expected)\nShakes: 4.5/5 (wonderful taste, just the right thickness)\n\nMust try: Salty Carrie\n\nGood place to hang out with a small group of friends and catch a game of uno/scrabble (and a few others)'), ('Rated 4.0', 'RATED\n  It?s a small outlet with few tables and chairs.\nThey serve some amazing thick shakes with varieties of options.\nI can guarantee you, you won?t get any other place who serves these kind of thick shakes for such effective pricing.\nGrab some shakes with your friends after you?re dinner and chill.'), ('Rated 3.0', 'RATED\n  Competent!\n\nIt?s a small outlet with a few tables and chairs. I had been here on a Saturday night and the place was not crowded. I ordered for a Cold Coffee with Ferrero. The coffee was decent enough with fair price. We spent some time playing the Jenga game. Looking forward to trying their other menu options.'), ('Rated 4.0', 'RATED\n  Place is located on a main road and is a very small place. So is a bit hard to locate and even find parking. Inside seating is also very cramped but nice to hang out. Milkshakes are nice and have tried many of them. Favorite amongst all is red velvet. Maggie is also good here. Nice place to go for a evening snack.')]",4.11,"{'roberta_neg': 0.007014804, 'roberta_neu': 0.083477646, 'roberta_pos': 0.9095075}",5.0,4.8
290,290,The Lantern Restaurant & Bar - The Ritz-Carlton...,4.4,"080 49148240
080 49148241",Residency Road,"Fine Dining, Bar","[('Rated 4.0', 'RATED\n  Went there for a team dinner. A very upscale eatery with tasty food.\n\nFood : 4.5/5 The food items were really tasty and true to their Asian origin. The dim sums were tasty the noodles and chicken dishes were flavorful and the cocktails were nice too. \n\nService : 3.5/5 The service was slow and can be definitely improved.\n\nAmbiance :  3.5/5 While the decorations were very nice, the place felt too cramped for a fine dining restaurant in India. They did not have any proper arrangement to sit a group and it was impossible to move once you are seated.\n\nPrice : 3.5/5 The prices are on the higher side keeping true to its upscale nature.'), ('Rated 5.0', 'RATED\n  Great ambience, great staff, great food. Takes you to another world! We were mostly busy relishing each dish so haven?t taken photos of other dishes we ordered.'), ('Rated 4.0', 'RATED\n  Courteous staff, beautiful ambiance, and best dimsums. Our anniversary was made special with complimentary dessert. Food was not extraordinary but when you are served with so much of attention, its kind of exciting.'), ('Rated 4.0', 'RATED\n  Went for the dinner buffet. The place is really upscale and swanky and the staff is polite. The spread wasn?t the most extensive but it did have enough delicious options to satisfy your cravings. One of my friends didn?t like their pasta and the chef himself came over to get him his pasta the way he liked. Desserts were decent too. Overall a nice place to be at for a date or even a weekend dinner with friends.'), ('Rated 4.0', 'RATED\n  It?s a very sophisticated place. I like the fact that they?ve tried something new with their decor. The food was delicious. The staff was very sweet and professional. Would love to go back.')]",4.31,"{'roberta_neg': 0.0131563395, 'roberta_neu': 0.09119586, 'roberta_pos': 0.8956478}",5.0,4.8
2601,2601,Masala Klub - The Taj West End,4.4,080 66605660,Race Course Road,Fine Dining,"[('Rated 5.0', 'RATED\n  Food 5/5\nService 5/5\nAmbience 5/5\nPresentation 6/5\nOverall 5/5\nMasala Klub - The Taj West End gave me one of the best dining experiences I have had in a while. The food was simply lip smacking and the presentation was even better. I loved the way how they added a local touch to the offering. Like they have a huge tamarind tree in the premises and they had a dish created from tamarind sourced from that tree.\nService was impeccable as always.'), ('Rated 5.0', 'RATED\n  Taj West end...heritage beauty at its best...and to top it, Masala Klub...the best north indian food one can get in Bangalore.\nWent for Weekend getaway and a romantic dinner on anniversary.\n\nThe dinner at Masala Klub | The ambiance is superb, the staff is friendly, and the food is just finger licking delicious.\nAnd when confused what to order from the delicious menu, the tasting menu comes to rescue...The menu covers starters, main course and dessert and u get to taste variety. Opted for Non-veg and Veg tasting menu. The food in both the tasting menu is just delicious and to the correct quantity where u don`t get the feeling of still hungry or a sad feeling of leaving some portion once full.\nMust try...dahi singada and aloo bhukhara ki tikki, sarson ke phool, kali mirch ka murgh, tandoori nalli, malai kulfi...'), ('Rated 5.0', 'RATED\n  Couple of months back we had team outing and it was decided to go masala Klub... Everything here was outstanding from hospitality to quality of food...well maintained. staffs were knowledgeable in terms of food and beverage.I will definitely recommend this place')]",4.35,"{'roberta_neg': 0.003540803, 'roberta_neu': 0.04039215, 'roberta_pos': 0.9560671}",5.0,4.8
1440,1440,Waffle Walle,4.4,+91 8105902392,Bannerghatta Road,Kiosk,"[('Rated 4.0', 'RATED\n  They have many kinds of different waffles. Must visit here if you ever visit Meenakshi mall. You can even customize your waffles at will. However some improvement is needed for eggless waffles.'), ('Rated 5.0', 'RATED\n  Had a chance to have their amazing waffles, perfect blend of crispy and soft. The owners are very passionate about it which makes it a lot more amazing as they prepare fresh batter everyday and invest in quality.\nYou have to go here if you want to have authentic waffles. Plus they also offer cool internships to college kids ;)'), ('Rated 5.0', 'RATED\n  Have been there so many times in breezy Bangalore weather. The taste is great and service is nice. Plus point is that the service person remembers your favourite order if you have been there few times.'), ('Rated 3.0', 'RATED\n  Ordered waffle combo from here..one was waffle with chocolate sauce and the other was waffle with caramel sauce..?\n\nI am not a fan of waffles but I liked whatever I ordered from here..\n\nWaffles were crispy and hot..?'), ('Rated 4.0', 'RATED\n  ORDER REGULAR!!\nI would recommend a regular size if you are opting for a snack. Also, do opt for the Liege instead of Brussels if you have never tried the former.\nLoads of different toppings, mix-n-match and go crazy.\nIn my opinion Caramel + Cashew > Belgian Hot Chocolate + Whipped Cream + Chocochips.\nLoyalty Offer - Buy 10 Get 1 over a period of 3 months.')]",4.29,"{'roberta_neg': 0.0057032453, 'roberta_neu': 0.0638341, 'roberta_pos': 0.9304626}",5.0,4.8
2094,2094,Jose'S Mess,4.4,080 26840905,BTM,Mess,"[('Rated 5.0', 'RATED\n  Been eating here since the last 15 years . ... Awesome food... Specially the fish gravy with the meals ..the beef and the chicken dishes are pretty good .. the customer service is also pretty good... Try Partha and beef roast...'), ('Rated 4.0', ""RATED\n  Always a fan of this place. Josettan's mess, as it was called, was my go to place for authentic Kerala food. Have tried their masala dosa, ghee roast, and puttu kadala for breakfast. For lunch and dinner, have had their beef roast, chicken roast, chicken biriyani and veg biriyani. Absolutely love their food. A small place which is always buzzing with people."")]",4.29,"{'roberta_neg': 0.0015150146, 'roberta_neu': 0.008819371, 'roberta_pos': 0.9896656}",5.0,4.8
1314,1314,Poonam Sweets,4.4,"080 26714711
+91 9844188316",Banashankari,Sweet Shop,"[('Rated 5.0', 'RATED\n  Brilliant sweets, samosa and kachori made the authentic north Indian way. You cannot go wrong with the snacks here. The chutney is also superb. We ate one of everything and the bill was minimal. Really need to find a place like this in North Bangalore, so if you know of one, please comment and let me know!'), ('Rated 4.0', 'RATED\n  Poonam sweets is famous for kachori, jalebi and other sweets it is one of the famous sweet shops in BDA complex I have been visiting here for 5 years'), ('Rated 4.0', ""RATED\n  Located inside BDA Complex in BSK, Poonam Sweets has for long been renowned for their delightful Samosa, Kachori, Dhokla, Jalebi, Basundi, Badam Milk and other sweets.\n\nMost of these are made multiple times in a day, you'll be able to get freshly made, piping hot savories if you wait for a few minutes as most batches get immediately sold out during the evenings.\n\nPrices are extremely affordable and taste is excellent. They could improve upon the hygiene though. Do give this place a try when you're in BSK.""), ('Rated 3.0', 'RATED\n  Food - 3/5\n\nAmbience - 2/5\n\nService - 3/5\n\nMust Try - Jalebi.\n\nClue - Tasty and popular as no other in Banashankari vicinity. Although it is a value for money, maybe quality and cleanliness can definitely be raised up.'), ('Rated 5.0', ""RATED\n  Best place in South bangalore for amazing kachori,samosa,Randi,jalebi,dhokla and what not! The freshly made super hot savouries will make you go Gaga! I can have them at any time of the day and never get bored! Do rush to this place right away if you haven't visited it yet!"")]",4.35,"{'roberta_neg': 0.0050384924, 'roberta_neu': 0.08961682, 'roberta_pos': 0.9053447}",5.0,4.8
2599,2599,Blow,4.3,+91 7022668616,Church Street,Cafe,"[('Rated 3.0', ''), ('Rated 5.0', ''), ('Rated 3.5', ''), ('Rated 5.0', ''), ('Rated 5.0', ""RATED\n  Intended Rating 4.5/5\n\nIf you are looking for good sheesha then this is one of the best sheesha places in Bangalore.\nLove the way they make the sheeshas. They are made to perfection!\nIt's a small cozy place, good to chill out.\nThey have amazing shakes and desserts.\n\nWhat I liked:\nRich Dark Chocolate Shake\nRed Velvet Shake\nHummus & Chicken\nChilli Paneer\nPulled Chicken Burger\nCrepes loaded with Nutella\n\nThe service was quick and staff is courteous.\nThe sheeshas are quite expensive but worth the price.\nMust visit this place.\n\nAmbiance: 4.5/5\nSheesha: 5/5\nShakes: 4.5/5\nFood: 4.5/5\nPrice: 4/5\nService: 4.5/5""), ('Rated 5.0', ''), ('Rated 4.0', '')]",4.19,"{'roberta_neg': 0.0017131759, 'roberta_neu': 0.019626051, 'roberta_pos': 0.9786607}",5.0,4.77
